File,label,score
MA_2024_04825fa4b2c952596d3114ba63000c53.html.gz,HUMAN,0.18899589380453313
MA_2024_0390094687b53ae16bd0b01acfd7b12e.html.gz,HUMAN,0.21110953893344367
MA_2024_03fb084051473e520aba8ecd400c8b57.html.gz,HUMAN,0.18747520945132634
MA_2024_04ea5f03a84db252cd49c872c823ce4e.html.gz,HUMAN,0.18760801214777673
MA_2024_06c0414c72f0a2d3e7e97d6cf8583f32.html.gz,HUMAN,0.191189025328765
MA_2024_04ac0d6bfe9eb2f265bc69800c2d71be.html.gz,HUMAN,0.2531576869266439
MA_2024_090c058c12845dbac44af01a696cc364.html.gz,HUMAN,0.22771110620816257
MA_2024_0aa429d4491bc147be7e67f784edebec.html.gz,HUMAN,0.20055881790546665
MA_2024_0adc4b261a92b4ec6d805a05c1ddf10b.html.gz,HUMAN,0.20095543351769016
MA_2024_0b7867169d0a2082ba440056c9967d18.html.gz,HUMAN,0.2701969776671401
MA_2024_0af5c9fd80af272eac913aebc4153319.html.gz,HUMAN,0.20466154232038197
MA_2024_0c6c44fb32391e5b71a630c61f0e43b1.html.gz,HUMAN,0.35261070420121043
MA_2024_129091cdf11dbfc77a4207708d6415c7.html.gz,HUMAN,0.19060630861353098
MA_2024_0ebe7b8b4ed1dc82e87f1903c60ba0da.html.gz,HUMAN,0.19388751816335997
MA_2024_0ca6ff23780e7363a81703fc1906cd1b.html.gz,HUMAN,0.26954779015531233
MA_2024_17d864873d17d876b03cd7995966fa3f.html.gz,HUMAN,0.19060630861353098
MA_2024_135a6230a5af3132ab868c0b73d5a0ba.html.gz,AI,0.5317472635230363
MA_2024_15c9a237d64c1879c0323a9715663b8d.html.gz,HUMAN,0.19833238256393568
MA_2024_1f3c76b49f7fa064126cca46f859c041.html.gz,HUMAN,0.1883099228720907
MA_2024_1922e8153d0135e3b9e4d0bdb416fb1e.html.gz,HUMAN,0.4840873449495749
MA_2024_1be94eb38dd3a26aa255d82cf5e6dc75.html.gz,HUMAN,0.1951506650999403
MA_2024_26c11c44baace91732b3a2287b8d791e.html.gz,HUMAN,0.24588639164954837
MA_2024_23b9e12e3fa4fc5aa7c80ac4d24f11e5.html.gz,HUMAN,0.2995372144434887
MA_2024_274f07a37c53dfd56bbf45af5fe8d63f.html.gz,HUMAN,0.1937518285232555
MA_2024_2c9df76624bbd0dcac00a772e7b72124.html.gz,HUMAN,0.20316658493672093
MA_2024_2913cbfc58c25155a380253d3beffc4f.html.gz,HUMAN,0.34646559432150614
MA_2024_2c517aa8b85c0c02c595f7ebe1360dd6.html.gz,HUMAN,0.24680669415615347
MA_2024_2f0e89895ef7bc0ed5c26790cf3f362d.html.gz,HUMAN,0.21947034653698783
MA_2024_36a3f93d6fd2d90082b590eca663277f.html.gz,HUMAN,0.31759407981478666
MA_2024_375a62e705d0c2e9197d1bc757dc6dc1.html.gz,HUMAN,0.2824605342830583
MA_2024_37ede624277cc916aee4af37cb383f9b.html.gz,HUMAN,0.2666665265761927
MA_2024_378b29e10815c805c4b48b16c62bbaa3.html.gz,HUMAN,0.20537915873827509
MA_2024_3897ff813e20a6ed9b9f384725a3d690.html.gz,HUMAN,0.1903728183104521
MA_2024_3b8f5c0b72902613a2e69cd27f1b69a5.html.gz,HUMAN,0.3235772314516214
MA_2024_3b87d0aff70f6e25fbebd0afb8953617.html.gz,HUMAN,0.204516732479991
MA_2024_393b96bf990f31319fc7b0f327c7c6d2.html.gz,HUMAN,0.2212343053220491
MA_2024_3c9ba711e733791e317579428fa83e93.html.gz,HUMAN,0.24601732114309635
MA_2024_3d459e9458d4cf1fc57322e4272aff56.html.gz,HUMAN,0.20688008811600256
MA_2024_41ab36e7afb201ab77d89faab249d67d.html.gz,HUMAN,0.28288328190977885
MA_2024_441e61765fb1838ef9c8a359b56497c1.html.gz,HUMAN,0.46110370864715455
MA_2024_44588e696e58d52c295f611075ba521b.html.gz,HUMAN,0.1884209909246325
MA_2024_4405599bcf9ced1a53b7910ac1bfcafa.html.gz,HUMAN,0.3183183640682645
MA_2024_493796bebe1a8a16cd4d388878125414.html.gz,AI,0.623559258746758
MA_2024_48254aaf10223a8137f6381c1d807c0c.html.gz,HUMAN,0.23334244460788595
MA_2024_4597461742f042476303a3f18dfa8688.html.gz,HUMAN,0.21494534415654704
MA_2024_4d06226e9a0dda5750f57a498be13f28.html.gz,HUMAN,0.2429245289366021
MA_2024_4ea4ab2368d8871d77aa3b1a30e0c0d5.html.gz,HUMAN,0.18981785085455313
MA_2024_4d17950b4cea973bb68da434324b75ee.html.gz,HUMAN,0.21521832679191755
MA_2024_50692a2ff43699c0a59b50fcdd3f5a81.html.gz,HUMAN,0.18752884215668056
MA_2024_5181d004ced7d91c0289b0ac2d262d3e.html.gz,HUMAN,0.24688190031500215
MA_2024_53d04bf178c9b629bf5982c57a74c2fe.html.gz,HUMAN,0.3841349269342904
MA_2024_58fe71fa1dde6b1e6d04d7e10c53b514.html.gz,HUMAN,0.19711137372540222
MA_2024_565f4275b1c9a6f5915bdb5bc3a12279.html.gz,HUMAN,0.2728171185250981
MA_2024_5559074cd31b59f17b230485be6e590f.html.gz,AI,0.5576983558285006
MA_2024_5c142eab21b072a1ed740c3726b1f1c7.html.gz,HUMAN,0.19577200075896045
MA_2024_5ca208320400d4d8fa61e7bd0c623753.html.gz,HUMAN,0.23927867655372007
MA_2024_5bf4b30ebcc26f8136ca6d2fe1f51bb6.html.gz,HUMAN,0.2178112030808759
MA_2024_5ff7efb9fe6d15540f01c9b5da1b85d1.html.gz,HUMAN,0.1933066245967454
MA_2024_5e2566596b7214b122a380fff7ac034b.html.gz,HUMAN,0.4969889699886572
MA_2024_60b5f1ddd7df97ecbfbe74dc03ee8d4a.html.gz,HUMAN,0.3927389890820242
MA_2024_6718c70e33568ed5dc90c2c609c7cf0c.html.gz,HUMAN,0.19979576308330246
MA_2024_6a4b1a6f6eb41133ad0789d4f2cbb21e.html.gz,AI,0.5825805794845101
MA_2024_68fcc58bed007a72c0f22d6def5d5f30.html.gz,HUMAN,0.23633631281169865
MA_2024_6e5d514195e9d2326c24f16a6ea027c9.html.gz,AI,0.5967143786667218
MA_2024_6def24783a444955486f4cc41fdfa78a.html.gz,HUMAN,0.19601124483498644
MA_2024_6d9e9d6ce8ffd45ef40320da9ef30966.html.gz,HUMAN,0.19145343435564263
MA_2024_7089faf0bee27b46cf05561358fc324e.html.gz,HUMAN,0.461786802225719
MA_2024_7042a95edf2a165dac7d598f227cfa02.html.gz,HUMAN,0.19245241617687198
MA_2024_6e75d814f956052974acb6217bd5c659.html.gz,HUMAN,0.19089228281555512
MA_2024_749414ceac41e8a5e745b14a56a4fcd6.html.gz,HUMAN,0.18998205073135754
MA_2024_7305edf5ff530db7c29f6d7529b841d6.html.gz,HUMAN,0.2935625396160087
MA_2024_7286fec161de003dddedc08106948faf.html.gz,HUMAN,0.23023827705279798
MA_2024_7740af5267edd4f1f8ef5bbe6e8f11d8.html.gz,HUMAN,0.20025842282892425
MA_2024_76f1d83bcc31aa2ba4e9d191912abff4.html.gz,HUMAN,0.21948808742827472
MA_2024_7734ef97479112417852522a2db0990f.html.gz,HUMAN,0.1874887170671254
MA_2024_79ae4c420567ba390002ceb12552eaa8.html.gz,HUMAN,0.1874887170671254
MA_2024_777cf4df51b8701e401bc7004ec8cc51.html.gz,HUMAN,0.22644882552643347
MA_2024_79313e6935606bd5aec728129b638980.html.gz,HUMAN,0.18764238719593865
MA_2024_7d740203b99e5f823ea1dc7a9459c1e9.html.gz,HUMAN,0.1894880902082729
MA_2024_7a6e56b833f9b0a21d138e57fdfa3e94.html.gz,HUMAN,0.18779864358418286
MA_2024_7cb7576a0a4b08dbd55752f5e913b9ba.html.gz,HUMAN,0.18822963598715278
MA_2024_8247b8616a5f92d4848c2cb0151dc175.html.gz,HUMAN,0.3841349269342904
MA_2024_7e66a8b50368de9446a11399ebea489e.html.gz,AI,0.5990769354833834
MA_2024_81865f05b6539bffefa8eb04457c5692.html.gz,HUMAN,0.2627159207260756
MA_2024_84e3e58c074f13318ccba95475495779.html.gz,HUMAN,0.3292424078527716
MA_2024_8fecc29a15897648ab26a06b9c687ba9.html.gz,HUMAN,0.18806075701421482
