File,label,score
MT_2023_97deb05f2c4934d86be6a4211af578ce.html.gz,AI,0.8828519005376896
MT_2023_378d6dcdcc4f0e131d99eeef2b09fbd3.html.gz,HUMAN,0.31431437206064056
MT_2023_126a41e0fabec78495668b909ba74fe9.html.gz,HUMAN,0.18823699084049433
MT_2023_e0abaf65512f98805b70c1cfc857a612.html.gz,AI,0.6910612365114657
MT_2023_c53cc58812d747321bb6309136fa55b1.html.gz,HUMAN,0.20438415772565854
MT_2023_c907d52b70f645e59b3cb6f8e645f166.html.gz,HUMAN,0.1966906028113694
MT_2023_f9f8757de6edf707508c1831c30363cf.html.gz,HUMAN,0.1992594738298882
MT_2023_e3516de0509b7ba88c3aefc1557592fd.html.gz,AI,0.6567243551243765
