File,label,score
AZ_2020_e463d8e9540ab5c1173c4845ecc7c8de.html.gz,HUMAN,0.20184741131335004
AZ_2020_adfa02f4b0c8ad9a8af572d5cd034659.html.gz,HUMAN,0.21038492026638125
AZ_2020_b90f26b2eb2f8bbee17f5fd2a0bfa382.html.gz,HUMAN,0.20575607449496047
AZ_2020_6aa06c4a31a036387566a04020f0bba0.html.gz,HUMAN,0.19284340590989366
AZ_2020_6e259673defe9cd2c93373c67ebd90b4.html.gz,AI,0.7109694493578803
AZ_2020_f7d714a6482b6470748626ce5bf45577.html.gz,AI,0.6146916246533655
AZ_2020_fe84d77ddbd5d5d3fec96e5ec5addcc3.html.gz,HUMAN,0.2698719771759466
