File,label,score
AL_2023_08656e3484fcc2bbf9dd98c6846611da.html.gz,HUMAN,0.3555286102309727
AL_2023_14b19b7405594b5dced2c7a70b288a1b.html.gz,HUMAN,0.30981407880410367
AL_2023_0ff8ef54b2acc4dddc6b1577ca65311e.html.gz,HUMAN,0.21937901999921114
AL_2023_0883d73386e26b69c02e750848dd3355.html.gz,HUMAN,0.22737817264093388
AL_2023_055366dcfe67eafa0b3a4360b7231c45.html.gz,HUMAN,0.1930547390962626
AL_2023_2a99bf4c0a84d931733932899b36d361.html.gz,HUMAN,0.18883409140692917
AL_2023_1acf9cffe8627ea4b45830fdf65997d1.html.gz,HUMAN,0.18835807876027855
AL_2023_21076bc72360ba2a32a7b54f7940bfc9.html.gz,HUMAN,0.36561334754737596
AL_2023_303dddd77c29250f8aedfbd2b7d3e7fc.html.gz,HUMAN,0.19079616980974645
AL_2023_20c03e82f298f9e70f6214ec2451a9bc.html.gz,HUMAN,0.19701701324627718
AL_2023_42bdc3cea7e5aa903885edb0610fc404.html.gz,HUMAN,0.19473404023200142
AL_2023_3685f6909513ba2dcd93007243a7a0fe.html.gz,HUMAN,0.46384123044801817
AL_2023_3a594c4bdeb8409decf8c603ae00ea12.html.gz,HUMAN,0.18798326209754226
AL_2023_41fe5fdaa3157a4be3f7674d85abb70c.html.gz,HUMAN,0.22393458635562702
AL_2023_49dc22c1ae553b1c1823f7c00430a52a.html.gz,HUMAN,0.18845111420051844
AL_2023_56a492d3bb0c9ae4147ceb5dd92c9196.html.gz,HUMAN,0.18814293325873083
AL_2023_669e7b10eba6b0c070c31157358d855a.html.gz,HUMAN,0.20677206195225012
AL_2023_68712b0adf6f89ad2dd177595b397389.html.gz,HUMAN,0.21283640039487248
AL_2023_947ae4f2709f64fa22fc14599a473c82.html.gz,HUMAN,0.21013991916270064
AL_2023_6a8300bbf45b145c48e3ed155dd48882.html.gz,HUMAN,0.21904414939755373
AL_2023_a49f2cb22133bea9397bdb5831d3fca4.html.gz,HUMAN,0.3898461483803627
AL_2023_bef866eef263dea07f78ad0cf587c9e5.html.gz,HUMAN,0.24688190031500215
AL_2023_c4f76e352f788458c397ed6f3d1acc39.html.gz,HUMAN,0.20928477724216038
AL_2023_ca6890754c9d7b24cf3d92767bd52a16.html.gz,HUMAN,0.23345549377542493
AL_2023_cea48464a04c50cd871de6c296284c99.html.gz,HUMAN,0.20467767362151656
AL_2023_d4a63786283d67e73456ca0f574a396a.html.gz,HUMAN,0.23633631281169865
AL_2023_d63c9d845765eb935f44bfa3a1b66716.html.gz,HUMAN,0.21688260865023792
AL_2023_e17d2399110124f2962ff25a60d80e7d.html.gz,HUMAN,0.20270982019356484
AL_2023_f3e6bcb47ee2856185d0076d3ef962a0.html.gz,HUMAN,0.19197611187530694
AL_2023_e582fcbace32f27af4898ff69e36ee74.html.gz,HUMAN,0.18756197207489028
