File,label,score
OH_2023_1a63820962e90c2ecfc6622b8861ac2f.html.gz,HUMAN,0.22201202026614333
OH_2023_2b30ccda5f6a8936d186ce1a2770467e.html.gz,HUMAN,0.18977397990591044
OH_2023_1073fbf5fbac5998661e1ad4d8eb4088.html.gz,HUMAN,0.1894789906129918
OH_2023_07d9c4469151010ca2a7a907aae05f5d.html.gz,AI,0.8128889787265491
OH_2023_1726f4cfe6cf72ab5ce5a79992b06d5c.html.gz,HUMAN,0.20375135884792242
OH_2023_3721a02b73eee621aa9caab82d74b0a7.html.gz,HUMAN,0.2584748617686564
OH_2023_2c63f6409251e714e7ff57d602799e15.html.gz,HUMAN,0.23244404620128373
OH_2023_2ff5f8badf1f66e662e3021decab54bb.html.gz,HUMAN,0.19311070019448276
OH_2023_3754c2d10a1bef48c26814efa2de1128.html.gz,HUMAN,0.18748097493184737
OH_2023_3148b85fb02a6d6c25581b0730f28f59.html.gz,HUMAN,0.18886898495228333
OH_2023_3c9f52013fcb0684b1076187fb96fcd3.html.gz,HUMAN,0.18764238719593865
OH_2023_4a492f167dec195faf9b822b5fadc4fa.html.gz,HUMAN,0.18966081011964203
OH_2023_3cafef0dc9bb369c5cdbb3ed2ed96537.html.gz,HUMAN,0.206673835606722
OH_2023_5da3b0d0fdd434a0d8bdcf09678d45fb.html.gz,HUMAN,0.2661838373018001
OH_2023_5c19ef884dfb31053977203f0b81cbef.html.gz,HUMAN,0.2498933656454299
OH_2023_5f7901439fac522acaeb707b220239ab.html.gz,HUMAN,0.19514776600504183
OH_2023_6c2a7d2d7d63eb0745566cb5d16147ce.html.gz,HUMAN,0.27000497729123984
OH_2023_702491cb84f297fde3776c7e3bb36778.html.gz,HUMAN,0.19207217835647178
OH_2023_6fa75d49d5015bd8210c07591e27a60a.html.gz,HUMAN,0.20252501455513366
OH_2023_762e91a9aad849663e8f2bad6995fab6.html.gz,HUMAN,0.20982175129715505
OH_2023_7ba8dc0efe12f94cc133b6cdbc8f472f.html.gz,HUMAN,0.19233574297634753
OH_2023_7bacbcd8dc22d059455b75dad41ed5cb.html.gz,HUMAN,0.21693218571272221
OH_2023_9396eb531ac7d2679ca7f050ea374709.html.gz,HUMAN,0.27352434700035283
OH_2023_8342e34f5a74e1f09d8be21fbadef8c2.html.gz,HUMAN,0.21943097241897175
OH_2023_99fe18f1fae6bf9820d3522dcd78e4c3.html.gz,HUMAN,0.31629135623755733
OH_2023_9a4f4d347a001723f353091524e5c3db.html.gz,HUMAN,0.2268602741134254
OH_2023_a824534cebf0c7bdc9738ae68240a167.html.gz,HUMAN,0.204213217678736
OH_2023_bb66450943a6ab9b230dcc3813107aa4.html.gz,HUMAN,0.18791195769061927
OH_2023_acdf924f1764e9062d0b5dd57b09845d.html.gz,HUMAN,0.38019626594205436
OH_2023_c14bcab4621a1375810a1eb04dc2122f.html.gz,HUMAN,0.28787695268971475
OH_2023_d3d8297a17afc5c0369fd2f4cf9a9514.html.gz,HUMAN,0.28459644892307306
OH_2023_d47e096d543200becb7894107296c99b.html.gz,HUMAN,0.3059814630238143
OH_2023_d9347cd4526e337386a7c1b3a0c3ba44.html.gz,HUMAN,0.24221925107810544
OH_2023_dcf2814a7c91ce44f7885daae20fdede.html.gz,HUMAN,0.32447614303610833
OH_2023_e33d72ae59d737f54cd10815593f45ff.html.gz,HUMAN,0.35337336313745193
OH_2023_d2ce238b2df86d0df2343a0a4abd77fd.html.gz,HUMAN,0.18845010100443
OH_2023_e54d8aa4ba5585f6bff53d3c94ab6fd4.html.gz,HUMAN,0.2090647069874539
OH_2023_e8192ab90cb682b4852d4b370c4c8da2.html.gz,HUMAN,0.23932348132487294
OH_2023_f3957f0401bae9949892d2296e307582.html.gz,HUMAN,0.21525463821795954
