File,label,score
NC_2023_884f0713fbd2247c9a7057895b9c39e4.html.gz,HUMAN,0.27373306472174375
NC_2023_69419a42170252ddef635f82f42c5ac7.html.gz,HUMAN,0.44153508040825573
NC_2023_0834f02df421fb1e339e7ffc1f630b17.html.gz,AI,0.987411225613326
NC_2023_932fc5823a3f14fc63811f23f32da364.html.gz,HUMAN,0.20187265054636488
NC_2023_b484b4a966d5620213267a1651b8b0c0.html.gz,HUMAN,0.3962633467108708
NC_2023_c3381a07684d986014f53aa850f9e5a0.html.gz,HUMAN,0.33248926473115686
NC_2023_df4b2b605314a9701cc5b1f25e7594e4.html.gz,HUMAN,0.19739739687114605
NC_2023_f53f489348db6f8f2dccc9f1aecd1578.html.gz,HUMAN,0.3255895247657379
NC_2023_e3ac97715b48d765754c60930b1adc4b.html.gz,HUMAN,0.31846727842186484
